"#name","#img","School","City","Country","Description","Forest Health","Insect Damage","Insects Identified","RecentFire","Year of Last Fire","Coniferous Trees","Deciduous Trees","Bushes Present","Tall Grass Present","Deadwood on the floor","Standing Deadwood","Lichens","Lichen Branches","New Trees","Old Trees","Protected Area","Managed Forest?","Evidence of Logging","Average Precipitation this Year","Average Temperature this Year","River, Lake or Spring Nearby?","Distance to Major Road","Distance to Settlement","Date#date","Latitude#number","Longitude#number","#href","See it in GFW#link#hidden"
"Photo 51","default","Francis W. Parker School","Chicago, IL","USA","Trees have been cut to certain sizes by humans.","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","No","No","Below 25%","Below 25%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","0-1km","4/27/2016","41.923629","-87.636081","http://www.globalforestwatch.org/map/13/41.923629/-87.636081/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636081/http://www.globalforestwatch.org/map/13/41.923629/-87.636081/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 52","default","Francis W. Parker School","Chicago, IL","USA","Tall tree, thin with lots of upright branches","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","No","No","Below 25%","Below 25%","No","Yes","No","Wetter","Normal","Yes","0-1km","0-1km","4/27/2016","41.923515","-87.636195","http://www.globalforestwatch.org/map/13/41.923515/-87.636195/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636195/http://www.globalforestwatch.org/map/13/41.923515/-87.636195/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 53","default","Francis W. Parker School","Chicago, IL","USA","I see plenty of deciduous trees, and a separate garden for coniferous trees","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","I don't know","Yes","No","50-75%","25-50%","No","Yes","No","Wetter","Normal","Yes","0-1km","0-1km","4/27/2016","41.938807","-87.668495","http://www.globalforestwatch.org/map/13/41.938807/-87.668495/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.668495/http://www.globalforestwatch.org/map/13/41.938807/-87.668495/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 54","default","Francis W. Parker School","Chicago, IL","USA","An interesting design on a pattern of a tree. It caught my eye.","Excellent","No","","No","","Below 25%","Above 75%","Yes","I don't know","Virtually absent","Absent","No","No","Below 25%","Below 25%","Yes","Yes","No","Wetter","I don't know","Yes","0-1km","0-1km","4/27/2016","41.923111","-87.63624","http://www.globalforestwatch.org/map/13/41.923111/-87.636240/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636240/http://www.globalforestwatch.org/map/13/41.923111/-87.636240/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 55","default","Francis W. Parker School","Chicago, IL","USA","I see many deciduous trees, and a separate garden for coniferous trees.","Excellent","No","","No","","Below 25%","Above 75%","Yes","I don't know","Virtually absent","Small amount","No","No","Below 25%","Below 25%","No","Yes","No","Wetter","Normal","Yes","0-1km","0-1km","4/27/2016","37.996163","-101.777344","http://www.globalforestwatch.org/map/13/37.996163/-101.777344/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-101.777344/http://www.globalforestwatch.org/map/13/37.996163/-101.777344/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 56","default","Francis W. Parker School","Chicago, IL","USA","Tall tree wide branches some leaves","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Small amount","Absent","No","No","Below 25%","Below 25%","No","Yes","No","Wetter","Normal","Yes","0-1km","0-1km","4/27/2016","41.92391","-87.636022","http://www.globalforestwatch.org/map/13/41.923910/-87.636022/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636022/http://www.globalforestwatch.org/map/13/41.923910/-87.636022/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 57","default","Francis W. Parker School","Chicago, IL","USA","This picture shows a small amount of lichen growing on the branch of a tree, while the tree has been cut.","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","No","No","Below 25%","Below 25%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","0-1km","4/27/2016","41.923633","-87.636085","http://www.globalforestwatch.org/map/13/41.923633/-87.636085/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636085/http://www.globalforestwatch.org/map/13/41.923633/-87.636085/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 58","default","Francis W. Parker School","Chicago, IL","USA","Trees in the area seemed to be getting a lot of care from the people.  No trees seemed artificial and that was a good thing.","Fair","No","","No","","Below 25%","50-75%","Yes","No","Small amount","Small amount","No","No","Below 25%","Below 25%","No","Yes","No","Normal","Colder","Yes","0-1km","0-1km","4/27/2016","41.922812","-87.635579","http://www.globalforestwatch.org/map/13/41.922812/-87.635579/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635579/http://www.globalforestwatch.org/map/13/41.922812/-87.635579/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 59","default","Francis W. Parker School","Chicago, IL","USA","There was a lot of shrubbery on the ground and it seemed to look like trees when it wasn't.","Fair","No","","No","","Below 25%","Above 75%","Yes","Yes","Virtually absent","Absent","Yes","No","Below 25%","Above 75%","Yes","Yes","No","I don't know","I don't know","Yes","0-1km","0-1km","4/27/2016","41.920577","-87.636073","http://www.globalforestwatch.org/map/13/41.920577/-87.636073/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636073/http://www.globalforestwatch.org/map/13/41.920577/-87.636073/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 60","default","Francis W. Parker School","Chicago, IL","USA","A wide open space with trees bordering the clearing and a couple saplings within the clearing itself.","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","No","No","25-50%","25-50%","No","Yes","No","I don't know","Warmer","Yes","0-1km","0-1km","4/26/2016","41.922972","-87.638111","http://www.globalforestwatch.org/map/13/41.922972/-87.638111/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638111/http://www.globalforestwatch.org/map/13/41.922972/-87.638111/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 61","default","Francis W. Parker School","Chicago, IL","USA","I saw many healthy and new trees. It was colorful and open. Many of the trees were deciduous.","Excellent","I don't know","","No","","Below 25%","Above 75%","Yes","No","Large amount","Small amount","No","No","50-75%","25-50%","No","Yes","No","Normal","Normal","Yes","0-1km","0-1km","4/26/2016","41.923435","-87.63515","http://www.globalforestwatch.org/map/13/41.923435/-87.635150/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635150/http://www.globalforestwatch.org/map/13/41.923435/-87.635150/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 62","default","Francis W. Parker School","Chicago, IL","USA","","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","I don't know","I don't know","25-50%","50-75%","No","Yes","No","Wetter","Colder","Yes","1-2km","1-2km","4/26/2016","37.996163","-101.777344","http://www.globalforestwatch.org/map/13/37.996163/-101.777344/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-101.777344/http://www.globalforestwatch.org/map/13/37.996163/-101.777344/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 63","default","Francis W. Parker School","Chicago, IL","USA","The tree has some leaves at the top but at the bottom there aren't many. The tree looks pretty healthy but the green color on the leaves doesn't look too bright or healthy","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Small amount","Absent","No","No","Below 25%","Below 25%","No","Yes","No","I don't know","Colder","Yes","1-2km","2-5km","4/26/2016","41.924137","-87.636137","http://www.globalforestwatch.org/map/13/41.924137/-87.636137/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636137/http://www.globalforestwatch.org/map/13/41.924137/-87.636137/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 64","default","Francis W. Parker School","Chicago, IL","USA","Trees bordering the grassy clearing, and just starting to bud. There are bushes and taller grass underneath the trees.","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","No","No","25-50%","50-75%","No","Yes","No","I don't know","Warmer","Yes","0-1km","0-1km","4/26/2016","41.921223","-87.635922","http://www.globalforestwatch.org/map/13/41.921223/-87.635922/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635922/http://www.globalforestwatch.org/map/13/41.921223/-87.635922/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
